Title;Name;Reps;Duration;Description
;GS Green;;;Green
;Scorpions;;60;Lying prone (face down), arms out in T position. Swing heel to opposite hand.
;Iron Cross ;;60;Lying supine (face up), arms out in T position. Swing foot to opposite hand.
;Groiners;;30;Seated, feet on ground pointing diagonally out, drop knees down to right, then bring them up and drop knees to left. Rest hands on ground behind hips.
;Lower Body Crawl;;30;"Lying prone (face down), arms in ""touchdown"" position. Bring right knee to right elbow then straighten, bring left knee to left elbow. Exercise is like a stationary army crawl."
;Pushups;;60;It's about quality, not quantity. Go all the way down.
;Windshield Wipers;;60;Lying on back. Arms out in T position. Keeping legs straight and together, raise them to be perpendicular to ground, lower legs side to side, with legs hovering just above ground, not touching ground.
;Single Leg Bridge [R];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Single Leg Bridge [L];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Supermans;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Hurdle to Plow;;60;Sitting, legs in figure 4 position. Rock backward and roll onto upper back, switching figure 4 position of legs at apex, rock forward and reach opposite hand to straightened leg. Repeat - rocking backward, switching position of legs at apex, reaching forward with opposite hand to straightened leg. 
;Rollups;;60;On back, arms resting beside hips. Curl knees toward chin, rolling small of back off ground. Extend legs straight out to hovering just above ground. Repeat - curling knees in tucked position toward chin. 
;Repeat;;;
;Scorpions;;60;Lying prone (face down), arms out in T position. Swing heel to opposite hand.
;Iron Cross ;;60;Lying supine (face up), arms out in T position. Swing foot to opposite hand.
;Groiners;;30;Seated, feet on ground pointing diagonally out, drop knees down to right, then bring them up and drop knees to left. Rest hands on ground behind hips.
;Lower Body Crawl;;30;"Lying prone (face down), arms in ""touchdown"" position. Bring right knee to right elbow then straighten, bring left knee to left elbow. Exercise is like a stationary army crawl."
;Pushups;;60;It's about quality, not quantity. Go all the way down.
;Windshield Wipers;;60;Lying on back. Arms out in T position. Keeping legs straight and together, raise them to be perpendicular to ground, lower legs side to side, with legs hovering just above ground, not touching ground.
;Single Leg Bridge [R];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Single Leg Bridge [L];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Supermans;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Hurdle to Plow;;60;Sitting, legs in figure 4 position. Rock backward and roll onto upper back, switching figure 4 position of legs at apex, rock forward and reach opposite hand to straightened leg. Repeat - rocking backward, switching position of legs at apex, reaching forward with opposite hand to straightened leg. 
;Rollups;;60;On back, arms resting beside hips. Curl knees toward chin, rolling small of back off ground. Extend legs straight out to hovering just above ground. Repeat - curling knees in tucked position toward chin. 
;Complete;;;
;;;;
;GS X;;;Indigo
